elapsed_s,blackout_elapsed_s,reference_relative_x_m,reference_relative_y_m,reference_speed_mps,raw_relative_x_m,raw_relative_y_m,raw_position_error_m,raw_speed_mps,phase4_v4_relative_x_m,phase4_v4_relative_y_m,phase4_v4_position_error_m,phase4_v4_speed_mps,phase4_v5_relative_x_m,phase4_v5_relative_y_m,phase4_v5_position_error_m,phase4_v5_speed_mps,ekf_relative_x_m,ekf_relative_y_m,ekf_position_error_m,ekf_speed_mps,hybrid_relative_x_m,hybrid_relative_y_m,hybrid_position_error_m,hybrid_speed_mps,ml_speed_measurement_mps,ml_predicted_residual_mps,ml_update_attempted,ml_update_accepted,ml_update_rejected_innovation,ml_update_skipped_ood,ml_normalized_innovation_squared,stationary_update_attempted,stationary_update_accepted,horizontal_position_sigma_m
3591.3,96.30000000000018,364.5581246020743,-1123.9821100155493,16.423055555555557,868.0497370335586,571.0494418217191,1768.2295567919668,8.944113611316697,280.3055821866426,-378.542857449576,750.1854238583826,9.336660541354373,528.7047876087278,-193.83878656008562,944.5161349310001,9.324090961799916,342.78099430847857,-765.9765351625998,358.66730409895894,15.50941521024607,411.28923446801457,-641.2307626934618,485.0078968126121,11.159060219023647,11.159060219023647,0.0,False,False,False,False,0.0,False,False,1586.9187955707662
3591.4,96.40000000000009,364.870101119325,-1125.583319170662,16.403055555555557,868.439754681595,571.8525512921232,1770.556672440218,8.912046241172158,280.4982700904574,-379.4583383296386,750.8802120885737,9.374238400486831,529.5783697630296,-194.17006320894743,945.8644020898604,9.361710222826623,343.1061250567157,-767.4951248973055,358.74897286543825,15.55068643676828,411.5232247829737,-642.3236623722654,485.506343765434,11.194294566564556,11.194294566564556,0.0,False,False,False,False,0.0,False,False,1590.283540284162
3591.5,96.5,365.14138504736053,-1127.2178868502344,16.49111111111111,868.8225811676797,572.6549830250723,1772.9248492429979,8.869569753683269,280.69252053302154,-380.3782795312945,751.5989687180721,9.430440134752779,530.4568578813007,-194.5016051598386,947.2533281486358,9.41785244195913,343.4218810404303,-769.0214463880938,358.8543253383676,15.622116674266099,411.7355357466695,-643.2302531058701,486.22530219730317,11.24809020985995,10.92546599576932,-0.3342219293117523,True,True,False,False,0.0008372903009247844,False,False,1593.6522700106318
3591.6,96.59999999999991,365.4465794664061,-1128.8302155135004,16.47,869.1977207248736,573.4555668354376,1775.2583184163775,8.812867969335093,280.8889249988499,-381.3040156380297,752.2934377151756,9.496479187722707,531.3416610181422,-194.8337336865324,948.6150990513544,9.483923587264503,343.75150527393043,-770.5516034254815,358.93486891626196,15.68304388678132,411.9729844303676,-644.3325196792988,486.7265388568011,11.30294946719566,11.30294946719566,0.0,False,False,False,False,0.0,False,False,1597.05398112391
3591.699,96.69900000000007,365.7721201800969,-1130.4314246694032,16.448055555555555,869.5629365155883,574.2451369125142,1777.5621975702368,8.761799988959869,281.0850253825022,-382.22667126595695,752.9822421815594,9.559491502954046,532.2239670508831,-195.16378350752274,949.9640929694151,9.546875340094388,344.0697061361345,-772.0746130687704,359.0133691046992,15.74918425119849,412.20244162636595,-645.4307741585824,487.2180269094353,11.3630825559851,11.3630825559851,0.0,False,False,False,False,0.0,False,False,1600.441811485464
3591.8,96.80000000000018,366.0501862063074,-1132.0437533326692,16.393055555555556,869.9305130441655,575.0472265526578,1779.9030865134405,8.709589487500772,281.28940389318717,-383.1734575307135,753.651849432376,9.620593119953183,533.1313796460332,-195.49891197934477,951.3318900713708,9.60798444913764,344.4063232028471,-773.6320834066084,359.06459299811235,15.803920709180613,412.4454090703029,-646.5549435023647,487.70062658873564,11.411690379235907,11.411690379235907,0.0,False,False,False,False,0.0,False,False,1603.9190228826217
3591.9,96.90000000000009,366.35538062535295,-1133.6449624877816,16.32111111111111,870.2911470805221,575.8366659542046,1782.211742384564,8.64865504481338,281.49571421946456,-384.115633448363,754.31782298498,9.669497559141298,534.0362299377517,-195.82916620091146,952.6884774107976,9.656837287477648,344.7398718365525,-775.1791398396471,359.11693948768635,15.84817747123997,412.6863234403209,-647.6723461485917,488.1761363418754,11.449879186115753,11.449879186115753,0.0,False,False,False,False,0.0,False,False,1607.378585976233
3591.999,96.9989999999998,366.64701084800356,-1135.2795301673543,16.493055555555554,870.6464157301658,576.6122041132759,1784.541596606792,8.584455736622292,281.70265987510015,-385.05246874357755,755.0206529988191,9.712744077251598,534.9371714186885,-196.15533835874285,954.0837624575133,9.700077920542059,345.0808439520202,-776.7127709244986,359.2147274103742,15.890773347384824,412.8846109873678,-648.1821292764481,489.28702580522605,11.450408878388755,10.445761986576448,-1.0407058000564575,True,True,False,False,0.008118682896868209,False,False,1610.8051311343143
3592.099,97.09900000000016,366.9522052670492,-1136.8585003069504,16.20611111111111,871.0013338243132,577.3943332439824,1786.8207244535583,8.593502383176672,281.9116886488445,-386.0031449051216,755.6557775881143,9.754955624454135,535.8512007374029,-196.48633544406832,955.4196350922448,9.742239810987133,345.4219425563483,-778.2669307994154,359.23733928180286,15.932244577741834,413.1304544216628,-649.3022745841242,489.73819938419444,11.485715506390619,11.485715506390619,0.0,False,False,False,False,0.0,False,False,1614.2835021805683
3592.2,97.19999999999982,367.2913101771049,-1138.4485899539097,16.33,871.3543028728822,578.1887696773235,1789.1124405936914,8.620864645479998,282.121919083466,-386.96747164120904,756.2920708031841,9.789181711989633,536.7777373428105,-196.82267375344654,956.7575529117906,9.776486659049393,345.76838438002864,-779.8397265790506,359.25416243361025,15.958833782713649,413.3802207965217,-650.4361778066041,490.1839471993308,11.50607846298378,11.50607846298378,0.0,False,False,False,False,0.0,False,False,1617.8089771221175
3592.299,97.29899999999998,367.6236329889706,-1139.994201569046,16.12805555555556,871.69657137972,578.9693748747463,1791.3473433028887,8.598240407518784,282.32735952244184,-387.91620202413725,756.8994462058673,9.82130594531704,537.6889013707902,-197.15378404393672,958.0554516460426,9.808591617780783,346.10199061615134,-781.3859634116155,359.2534614513824,15.997042484703014,413.6207934433104,-651.5512117810753,490.6040083844342,11.538184208641562,11.538184208641562,0.0,False,False,False,False,0.0,False,False,1621.275872163113
