elapsed_s,blackout_elapsed_s,reference_relative_x_m,reference_relative_y_m,reference_speed_mps,raw_relative_x_m,raw_relative_y_m,raw_position_error_m,raw_speed_mps,phase4_v4_relative_x_m,phase4_v4_relative_y_m,phase4_v4_position_error_m,phase4_v4_speed_mps,phase4_v5_relative_x_m,phase4_v5_relative_y_m,phase4_v5_position_error_m,phase4_v5_speed_mps,ekf_relative_x_m,ekf_relative_y_m,ekf_position_error_m,ekf_speed_mps,hybrid_relative_x_m,hybrid_relative_y_m,hybrid_position_error_m,hybrid_speed_mps,ml_speed_measurement_mps,ml_predicted_residual_mps,ml_update_attempted,ml_update_accepted,ml_update_rejected_innovation,ml_update_skipped_ood,ml_normalized_innovation_squared,stationary_update_attempted,stationary_update_accepted,horizontal_position_sigma_m
320.099,0.0,0.0,0.0,15.764999999999999,0.0,0.0,0.0,15.34418954149519,0.0,0.0,0.0,15.345731025839608,0.0,0.0,0.0,15.34573081292671,0.0,0.0,0.0,15.351467035645083,0.0,0.0,0.0,15.351467035645083,15.351467035645083,0.0,False,False,False,False,0.0,False,False,4.266312332389377
320.2,0.10099999999999909,-1.5060086766166023,-0.4558998279644655,15.766111111111112,-1.411116878182164,-0.6424227333289254,0.20927314121912866,15.358191389701407,-1.3655548083586202,-0.7347055949932515,0.31218575373828367,15.36032488173045,-1.3655233152834996,-0.7347643511122107,0.312252396338782,15.360326788012094,-1.3656772855492167,-0.736035395517948,0.3133190634599486,15.369201180231833,-1.3656772855492167,-0.736035395517948,0.3133190634599486,15.369201180231833,15.369201180231833,0.0,False,False,False,False,0.0,False,False,4.337588853833382
320.299,0.19999999999998863,-3.012017353248268,-0.9006801493558072,15.75,-2.797154254029774,-1.2712059916581326,0.4283171152541353,15.389195161410624,-2.7072827659745844,-1.453152436473685,0.6309427840257158,15.386615775605971,-2.707255105128345,-1.453203385810677,0.6310007564984954,15.386610392950725,-2.707660463976169,-1.4568189740540531,0.6339743751794192,15.404568872863244,-2.707660463976169,-1.4568189740540531,0.6339743751794192,15.404568872863244,15.404568872863244,0.0,False,False,False,False,0.0,False,False,4.451715308639318
320.4,0.3009999999999877,-4.511242207008266,-1.3676994862636604,15.71888888888889,-4.215371189248762,-1.908663167959174,0.6165884884293653,15.400844578039946,-4.079076418801495,-2.1868470319828917,0.9261587175825854,15.418844927684853,-4.0791828992022525,-2.186646487610953,0.9259316586430847,15.418841916786006,-4.081460733237056,-2.190194051880281,0.9280136990722855,15.432946136726168,-4.081460733237056,-2.190194051880281,0.9280136990722855,15.432946136726168,15.432946136726168,0.0,False,False,False,False,0.0,False,False,4.610224889410831
320.499,0.4000000000000341,-6.017250883639932,-1.8124798068649213,15.74111111111111,-5.608100922839875,-2.5284317215372782,0.8246155677318382,15.395234321466557,-5.424833977568615,-2.9094382665580936,1.246705920773431,15.439389800291536,-5.4252347558075105,-2.908689059416808,1.2458562601656984,15.439387237093408,-5.428738671720265,-2.9121407317408052,1.2472372562096847,15.446189358143563,-5.428738671720265,-2.9121407317408052,1.2472372562096847,15.446189358143563,15.446189358143563,0.0,False,False,False,False,0.0,False,False,4.802998838064273
320.599,0.5,-7.530043383128174,-2.2683796356194748,15.761944444444445,-7.015958199440346,-3.1521524357092923,1.0224176926608537,15.401452915068235,-6.784578809822454,-3.6425054509028927,1.563310329487462,15.45588640629549,-6.785356845186484,-3.6410554472770444,1.5616647923614555,15.455883448702885,-6.789845305745973,-3.644448771940492,1.5625170276498035,15.465855769486067,-6.789845305745973,-3.644448771940492,1.5625170276498035,15.465855769486067,15.465855769486067,0.0,False,False,False,False,0.0,False,False,5.031138682830726
320.699,0.6000000000000227,-9.0292682368882,-2.7131599562207356,15.67111111111111,-8.4247883682211,-3.7748576217137337,1.221719216733975,15.404812155831678,-8.145309021946101,-4.377394298100386,1.8844255990546945,15.47402377494996,-8.146583056682918,-4.375023265701402,1.881733984056212,15.474009852732525,-8.15130139237078,-4.3799320072303125,1.8838669937388222,15.482477078659567,-8.15130139237078,-4.3799320072303125,1.8838669937388222,15.482477078659567,15.482477078659567,0.0,False,False,False,False,0.0,False,False,5.288776116026711
320.799,0.6999999999999886,-10.528493090648197,-3.169059785765377,15.69,-9.834276595408973,-4.396357991808751,1.4100345488035093,15.403758333055624,-9.50792611445579,-5.11248375104613,2.1950976428674145,15.49100255008798,-9.509955107114418,-5.108706250040593,2.1908099028159436,15.49096881161587,-9.514423386888994,-5.115910232653153,2.1951227816751873,15.499876093670672,-9.514423386888994,-5.115910232653153,2.1951227816751873,15.499876093670672,15.499876093670672,0.0,False,False,False,False,0.0,False,False,5.572039606986957
320.899,0.8000000000000114,-12.027717944408238,-3.6360791226732303,15.725,-11.244147002687237,-5.017616886784323,1.58827894728055,15.4098568380382,-10.873168953332444,-5.8460920786008375,2.493419466949357,15.506243880484643,-10.8762359910267,-5.840367119263489,2.4869250613710214,15.506169741745362,-10.879418879877226,-5.851666427077576,2.495479481991489,15.513346076951981,-10.879418879877226,-5.851666427077576,2.495479481991489,15.513346076951981,15.513346076951981,0.0,False,False,False,False,0.0,False,False,5.877431256867541
320.999,0.9000000000000341,-13.526942798153172,-4.091978952217872,15.713888888888889,-12.654831524818139,-5.638737237536342,1.775679944775912,15.417544390302426,-12.241468277044884,-6.577327410118951,2.7981068066837356,15.522455638595265,-12.246041636997438,-6.568752615139635,2.7883894207934796,15.522319591672126,-12.247752615851125,-6.584654705833851,2.8017423034895512,15.532484752950301,-12.247752615851125,-6.584654705833851,2.8017423034895512,15.532484752950301,15.532484752950301,0.0,False,False,False,False,0.0,False,False,6.201922861841619
321.1,1.0010000000000332,-15.026167651913184,-4.547878780972425,15.685,-14.080493910022689,-6.263461894732429,1.95895999099513,15.404914894946042,-13.624414546931973,-7.317245011296815,3.103917055107237,15.53588644391043,-13.63115456151508,-7.304578805517801,3.089572227301143,15.53575058484634,-13.632409769204424,-7.322880283900377,3.1053493163998787,15.539923174912486,-13.632409769204424,-7.322880283900377,3.1053493163998787,15.539923174912486,15.539923174912486,0.0,False,False,False,False,0.0,False,False,6.546331476205513
321.199,1.1000000000000227,-16.52539250567321,-5.003778610517067,15.703888888888889,-15.479565969537399,-6.872846422306054,2.141767407715297,15.42388273915083,-14.981519866760406,-8.043168659173702,3.4090225275079318,15.556235207858377,-14.990992356426695,-8.025331730648693,3.388829750191782,15.556024188494604,-14.989319903171365,-8.051424716389365,3.4128676837515064,15.573694078032458,-14.989319903171365,-8.051424716389365,3.4128676837515064,15.573694078032458,15.573694078032458,0.0,False,False,False,False,0.0,False,False,6.898127780664711
321.299,1.1999999999999886,-18.024617359433222,-5.459678438481539,15.701944444444445,-16.89596906966418,-7.486812022134288,2.320154634495602,15.451049003282758,-16.355311083646367,-8.776176342033928,3.7129155372360367,15.586039685228812,-16.368176902413122,-8.751898322051508,3.6854452579608905,15.585820936140586,-16.3648388111244,-8.784443549147513,3.716036580892048,15.599171528556113,-16.3648388111244,-8.784443549147513,3.716036580892048,15.599171528556113,15.599171528556113,0.0,False,False,False,False,0.0,False,False,7.266083380210881
321.4,1.3009999999999877,-19.52384221319322,-5.915578268026181,15.676944444444443,-18.328540468090697,-8.105049274452988,2.494499859656991,15.445620113015396,-17.744881387179564,-9.51811581319274,4.0178325481316275,15.606824548877146,-17.761843560790506,-9.486061511725483,3.9815813246254894,15.606562755673743,-17.75519138269308,-9.527207052786206,4.021441064983548,15.61504289190007,-17.75519138269308,-9.527207052786206,4.021441064983548,15.61504289190007,15.61504289190007,0.0,False,False,False,False,0.0,False,False,7.648836014862452
321.5,1.4010000000000105,-21.029850889824885,-6.3603585886274345,15.688888888888888,-19.74822735829103,-8.717332372587537,2.682887305657194,15.476229454300126,-19.12419384924759,-10.251057252902115,4.3323278791534925,15.632340480311669,-19.145654139989215,-10.210413662646447,4.286387927506194,15.632047456057057,-19.1343880946315,-10.263205248274339,4.338777622404647,15.65076535917464,-19.1343880946315,-10.263205248274339,4.338777622404647,15.65076535917464,15.65076535917464,0.0,False,False,False,False,0.0,False,False,8.03760220333572
321.6,1.5010000000000332,-22.529075743584897,-6.816258417381995,15.703055555555556,-21.171686456583377,-9.33201979715539,2.858594234309205,15.533939423264604,-20.50671400993335,-10.985106413893813,4.6334911891314405,15.673857666480188,-20.532989009325274,-10.935260534477964,4.577176060774626,15.673571113076878,-20.51983529646913,-10.996285138308705,4.6378519340301585,15.69804689425144,-20.51983529646913,-10.996285138308705,4.6378519340301585,15.69804689425144,15.69804689425144,0.0,False,False,False,False,0.0,False,False,8.435361809029413
321.7,1.600999999999999,-24.028300597329874,-7.238799723256832,15.68,-22.59911024380949,-9.947490481649135,3.062611743462691,15.555245677179933,-21.89055065131353,-11.724837337785466,4.969356931299929,15.709006529474115,-21.922111714073772,-11.664957818662412,4.901724910424486,15.708734015745579,-21.90629806636272,-11.734949972903863,4.971746354032159,15.721085812875764,-21.90629806636272,-11.734949972903863,4.971746354032159,15.721085812875764,15.721085812875764,0.0,False,False,False,False,0.0,False,False,8.841107653636534
321.8,1.7010000000000218,-25.527525451089858,-7.694699551221298,15.673055555555555,-24.029290641130384,-10.562198740905727,3.2353143817278647,15.578549939564567,-23.27736388258057,-12.466216525709061,5.275471668222761,15.74189835768224,-23.314663739843784,-12.395437132630443,5.195545280562109,15.74159256736727,-23.29361704895629,-12.479011922651463,5.280150719112351,15.76403540032925,-23.29361704895629,-12.479011922651463,5.280150719112351,15.76403540032925,15.76403540032925,0.0,False,False,False,False,0.0,False,False,9.254043298282081
