elapsed_s,blackout_elapsed_s,reference_relative_x_m,reference_relative_y_m,reference_speed_mps,raw_relative_x_m,raw_relative_y_m,raw_position_error_m,raw_speed_mps,phase4_v4_relative_x_m,phase4_v4_relative_y_m,phase4_v4_position_error_m,phase4_v4_speed_mps,phase4_v5_relative_x_m,phase4_v5_relative_y_m,phase4_v5_position_error_m,phase4_v5_speed_mps,ekf_relative_x_m,ekf_relative_y_m,ekf_position_error_m,ekf_speed_mps,hybrid_relative_x_m,hybrid_relative_y_m,hybrid_position_error_m,hybrid_speed_mps,ml_speed_measurement_mps,ml_predicted_residual_mps,ml_update_attempted,ml_update_accepted,ml_update_rejected_innovation,ml_update_skipped_ood,ml_normalized_innovation_squared,stationary_update_attempted,stationary_update_accepted,horizontal_position_sigma_m
4245.699,30.698999999999614,70.74608475701777,-250.3446036368394,1.2038888888888888,-9.070846793204993,-251.2801980524095,79.82241476554935,8.135699308916587,133.77063629585388,-382.53876403052647,146.44927496871836,16.18067848233139,158.61387456502678,-372.8371829255468,150.7487328853703,16.18593188559103,134.75036016951398,-385.09610192966846,149.17946763291852,16.286724107562495,79.63123686995235,-216.69108422592186,34.80668465698779,5.259347661767759,5.259347661767759,0.0,False,False,False,False,0.0,False,False,149.0712688993307
4245.8,30.800000000000182,70.77321912647179,-250.4557987175823,1.116111111111111,-9.35395455400372,-252.05098444613205,80.14305072512312,8.124388893921301,134.2261568587805,-384.10838329110004,147.95029121310156,16.18332464799943,159.0438751967671,-374.4145372280512,152.17581140308457,16.188623107369413,135.20998614429487,-386.6755453845245,150.6914606927517,16.286766892783103,79.7791849382375,-217.19948806063329,34.454166928169855,5.225666970189221,5.225666970189221,0.0,False,False,False,False,0.0,False,False,149.60129828578695
4245.9,30.899999999999636,70.8071370882931,-250.56699379753508,1.1088888888888888,-9.634158090526823,-252.8129037394187,80.47264182014338,8.111805630951478,134.67575741904568,-385.66292892925355,149.43263482943513,16.181797904206213,159.47047354774247,-375.97610179999424,153.58590951677172,16.187114568255794,135.66272846687485,-388.23986968720925,152.18432405737195,16.28368680165701,79.92395571368955,-217.6997029313518,34.10828624734275,5.189197298074244,5.189197298074244,0.0,False,False,False,False,0.0,False,False,150.1246983740758
4246.0,31.0,70.84105505009936,-250.66706936933457,0.9988888888888889,-9.913863989786021,-253.57335231514378,80.80719912049634,8.093347001437316,135.1256325744954,-387.21705592933046,150.9251660162252,16.176810530656056,159.89955308989275,-377.5366486359138,155.0074392291632,16.182121437413915,136.11475318988607,-389.8038812562659,153.6870459437077,16.27677104731768,79.22485171477624,-215.49982843942672,36.152771417096545,4.917278143599122,0.675261057594363,-4.473630905151367,True,True,False,False,0.14735901922855243,False,False,150.4665441009349
4246.1,31.100000000000364,70.8614058272012,-250.7671449419242,0.9130555555555555,-10.193272460097607,-254.33196895070205,81.13303175939542,8.07536823854874,135.57556041221042,-388.770666258201,152.42340272853292,16.17216378728941,160.33105055239304,-379.0960306295113,156.43887058231354,16.17750236257295,136.56796254956163,-391.36706772429756,155.19565033440247,16.274423446989335,79.36126828446507,-215.97034947170533,35.81989163563518,4.880671076527659,4.880671076527659,0.0,False,False,False,False,0.0,False,False,150.9632996513277
4246.2,31.199999999999818,70.88175660428797,-250.86722051372362,0.9138888888888889,-10.47293386662583,-255.08892571480953,81.46415442649035,8.063954049195655,136.0240233909893,-390.32442175974035,153.9214926560998,16.171466978600343,160.76388205132372,-380.65477024162215,157.8721145080676,16.17686402145036,137.02021577763088,-392.93046313454835,156.70437353745828,16.275465591968352,79.49643236606137,-216.4375985518292,35.49100600038618,4.847453754763872,4.847453754763872,0.0,False,False,False,False,0.0,False,False,151.458551493193
4246.299,31.298999999999978,70.90889097374199,-250.9561765781599,0.8619444444444445,-10.750443909739422,-255.83770037877957,81.80511138204372,8.068284607404916,136.46631555816475,-391.86332053290323,155.41106503600392,16.175951547825964,161.19353535547623,-382.1978030364539,159.29746239835268,16.18140330841032,137.46622838108271,-394.479187078617,158.20472087099333,16.2834798613489,79.62888438473833,-216.8975219064108,35.15722177785493,4.821551152068804,4.821551152068804,0.0,False,False,False,False,0.0,False,False,151.94781428248672
4246.399,31.399000000000342,70.92924175082877,-251.0228936262896,0.7180555555555556,-11.031741800112004,-256.5940184289144,82.15010807177312,8.070437515228118,136.91270700407253,-393.4185293075017,156.94054526438507,16.184145764435595,161.62979481650183,-383.7564497530657,160.7631402047092,16.18959792630429,137.9152979312244,-396.04481870854704,159.74507966496813,16.29176142084306,79.76146230455034,-217.35974025237195,34.80252885905686,4.795573244819845,4.795573244819845,0.0,False,False,False,False,0.0,False,False,152.44127890976796
4246.499,31.498999999999796,70.94959252791554,-251.08961067441936,0.6469444444444444,-11.314231939900104,-257.3496644301391,82.50166718979736,8.064023687871131,137.35917762851452,-394.9745720590055,158.47118067925643,16.19242149326581,162.06852581051584,-385.3152598267255,162.23188617813992,16.197895648579966,138.36517554415946,-397.61108068369134,161.28670747181266,16.300056211391112,79.17877650120487,-215.52102864671156,36.50812918143055,4.573996923827716,0.9510663265749217,-3.818542242050171,True,True,False,False,0.10742411209895464,False,False,152.75761082078662
4246.599,31.59900000000016,70.96994330500229,-251.14520821439572,0.5819444444444445,-11.598107023650796,-258.104473176215,82.86081283624844,8.064485743106106,137.8060169103308,-396.5315167909851,160.01324775312872,16.203519946890424,162.50991408110116,-386.87432639645476,163.7130409349493,16.20898674587016,138.8144815510013,-399.17866044903934,162.83975052277418,16.31394206231555,79.3045129339888,-215.95970937832377,36.159153464145774,4.5528959716881285,4.5528959716881285,0.0,False,False,False,False,0.0,False,False,153.22958682137212
4246.7,31.699999999999818,70.9835104897218,-251.21192526252543,0.585,-11.886355509146794,-258.86604550651595,83.22259457250719,8.060216047517047,138.25760791671377,-398.105100020128,161.5654943822597,16.21431726133268,162.95836104654322,-388.44938347460953,165.20742438360077,16.219801532252152,139.2696725769824,-400.7626451416496,164.40321696661505,16.321537896349763,79.43113118511386,-216.40031861738967,35.821924189368666,4.525155134627924,4.525155134627924,0.0,False,False,False,False,0.0,False,False,153.70561618959215
